,Made Donation in March 2007
659.0,0.3
276.0,0.5
263.0,0.1
303.0,0.1
83.0,0.3
500.0,0.8
530.0,0.3
244.0,0.0
249.0,0.0
728.0,0.0
129.0,0.8
534.0,0.0
317.0,0.3
401.0,0.1
696.0,0.8
192.0,0.2
176.0,0.0
571.0,0.4
139.0,0.1
423.0,0.1
563.0,0.6
56.0,0.3
528.0,0.2
101.0,0.1
467.0,0.0
382.0,0.1
466.0,0.5
294.0,0.0
512.0,0.0
659.0,0.3
389.0,0.1
487.0,0.0
701.0,0.2
419.0,0.0
536.0,0.1
240.0,0.0
508.0,0.1
515.0,0.0
283.0,0.4
650.0,0.1
65.0,0.5
228.0,0.2
741.0,0.0
297.0,0.3
464.0,0.0
63.0,0.2
231.0,0.4
28.0,0.0
248.0,0.0
357.0,0.0
300.0,0.3
726.0,0.6
680.0,0.7
520.0,0.6
254.0,0.0
582.0,0.2
143.0,0.0
98.0,0.9
1.0,0.2
221.0,0.1
352.0,0.1
64.0,0.3
138.0,0.4
745.0,0.4
64.0,0.3
688.0,0.0
623.0,0.0
289.0,0.2
174.0,0.1
690.0,0.1
105.0,0.1
427.0,0.5
48.0,0.1
14.0,0.1
657.0,0.1
301.0,0.0
455.0,0.0
579.0,0.1
722.0,0.0
98.0,0.9
491.0,0.1
303.0,0.1
466.0,0.5
65.0,0.5
300.0,0.3
9.0,0.3
622.0,0.2
323.0,0.0
289.0,0.2
568.0,0.2
290.0,0.1
156.0,0.7
464.0,0.0
426.0,0.0
306.0,0.1
4.0,0.4
12.0,0.3
187.0,0.1
406.0,0.2
96.0,0.3
509.0,0.2
733.0,0.1
548.0,0.1
478.0,0.1
501.0,0.1
127.0,0.6
199.0,0.2
299.0,0.2
162.0,0.1
235.0,0.0
23.0,0.0
473.0,0.1
487.0,0.0
683.0,0.7
303.0,0.1
309.0,0.0
569.0,0.5
34.0,0.3
686.0,0.3
84.0,0.0
733.0,0.1
537.0,0.5
181.0,0.1
453.0,0.4
67.0,0.1
161.0,0.3
307.0,0.1
703.0,0.1
181.0,0.1
246.0,0.2
316.0,0.3
278.0,0.2
346.0,0.2
545.0,0.1
419.0,0.0
694.0,0.3
622.0,0.2
663.0,0.0
262.0,0.3
461.0,0.1
373.0,0.3
233.0,0.1
466.0,0.5
207.0,0.0
263.0,0.1
16.0,0.5
513.0,0.0
449.0,0.4
429.0,0.0
701.0,0.2
632.0,0.1
529.0,0.4
245.0,0.1
344.0,0.3
353.0,0.5
241.0,0.3
633.0,0.0
624.0,0.2
726.0,0.6
189.0,0.2
138.0,0.4
402.0,0.0
511.0,0.3
590.0,0.4
334.0,0.4
447.0,0.0
119.0,0.5
389.0,0.1
644.0,0.1
423.0,0.1
131.0,0.5
405.0,0.1
82.0,0.1
643.0,0.5
156.0,0.7
617.0,0.1
574.0,0.5
272.0,0.1
613.0,0.3
545.0,0.1
685.0,0.0
570.0,0.0
537.0,0.5
691.0,0.0
85.0,0.5
483.0,0.2
455.0,0.0
93.0,0.2
744.0,0.2
33.0,0.2
321.0,0.7
523.0,0.6
426.0,0.0
196.0,0.2
301.0,0.0
103.0,0.0
224.0,0.6
454.0,0.1
585.0,0.0
154.0,0.0
